Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,26,DET,NBA,SF,74,NA,1178,9.4,18.5,0.51,3.6,5.5,0.664,3.6,5.1,8.8,2.2,2.3,0.3,NA,6,22.5,NA,NA,94
1974-75,27,DET,NBA,SF,24,NA,347,8.8,16.9,0.52,4.3,5.8,0.738,4.3,7.8,12.1,2.2,3.2,0,NA,7,21.9,NA,NA,96
1975-76,28,SEA,NBA,SF,64,NA,1004,6.5,13.4,0.485,6.7,9,0.749,4,6.1,10.2,2.6,1.9,0.2,NA,6.2,19.7,NA,NA,99
1976-77,29,SEA,NBA,SF,76,NA,1647,5.9,12.6,0.469,4.1,5.6,0.733,3.5,4.5,8,2.7,1.7,0.2,NA,5.2,15.9,NA,NA,101
1977-78,30,TOT,NBA,SF,35,NA,611,5.5,13.5,0.409,3.7,5.6,0.667,3.6,5.2,8.8,2.5,2.3,0.2,4.2,7.5,14.7,NA,89,99
1977-78,30,DET,NBA,SF,16,NA,260,5.8,14.1,0.415,3.4,5,0.69,4.6,4.6,9.3,2.4,2.2,0.5,2.9,7.7,15.1,NA,98,102
1977-78,30,POR,NBA,SF,19,NA,351,5.3,13,0.404,3.9,6,0.652,2.9,5.6,8.5,2.5,2.4,0,5.1,7.4,14.4,NA,82,97
Career,NA,,NBA,,273,NA,4787,7,14.6,0.482,4.5,6.3,0.716,3.7,5.3,9,2.5,2.1,0.2,0.5,6,18.6,NA,89,98
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,140,NA,2651,6.1,12.9,0.475,5.1,6.9,0.741,3.7,5.1,8.8,2.7,1.8,0.2,NA,5.6,17.4,NA,NA,100
3 seasons,NA,DET,NBA,,114,NA,1785,8.8,17.6,0.501,3.7,5.5,0.682,3.9,5.6,9.5,2.2,2.4,0.3,0.4,6.4,21.3,NA,98,96
1 season,NA,POR,NBA,,19,NA,351,5.3,13,0.404,3.9,6,0.652,2.9,5.6,8.5,2.5,2.4,0,5.1,7.4,14.4,NA,82,97
