Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1971-72,24,DET,NBA,SF,78,1272,13.4,0.546,0.489,NA,NA,11.8,4.8,NA,NA,NA,NA,NA,2.4,0.2,2.6,0.097,NA,NA,NA,NA,NA
1972-73,25,DET,NBA,SF,79,1282,15.8,0.541,0.446,NA,NA,12.3,6,NA,NA,NA,NA,NA,2.7,1,3.8,0.141,NA,NA,NA,NA,NA
1973-74,26,DET,NBA,SF,74,1178,15.8,0.538,0.295,8.3,11.7,10,7.4,2.3,0.4,NA,NA,NA,1.8,1.8,3.5,0.144,NA,0.2,0.5,0.7,0.8
1974-75,27,DET,NBA,SF,24,347,17.3,0.562,0.341,9.9,17.9,13.9,7.1,3.2,0,NA,NA,NA,0.6,0.4,1.1,0.146,NA,0,0.4,0.3,0.2
1975-76,28,SEA,NBA,SF,64,1004,15.4,0.569,0.674,9.1,14.6,11.8,7.8,1.9,0.2,NA,NA,NA,2,0.9,3,0.141,NA,0.2,-0.4,-0.2,0.5
1976-77,29,SEA,NBA,SF,76,1647,12,0.528,0.447,7.6,10.8,9.1,8.2,1.7,0.2,NA,NA,NA,1.8,1.5,3.3,0.095,NA,-1.1,-0.3,-1.3,0.3
1977-78,30,TOT,NBA,SF,35,611,8.2,0.463,0.414,8.5,11.7,10.2,7,2.3,0.3,20.7,17.2,NA,-0.3,0.8,0.5,0.037,NA,-3.6,0,-3.5,-0.3
1977-78,30,DET,NBA,SF,16,260,10.4,0.464,0.354,11.1,10.7,10.9,7.1,2.2,0.6,15.2,16.4,NA,0.1,0.2,0.4,0.07,NA,-2.3,-0.1,-2.3,0
1977-78,30,POR,NBA,SF,19,351,6.6,0.461,0.465,6.7,12.5,9.6,6.9,2.4,0,24.6,17.8,NA,-0.4,0.5,0.1,0.012,NA,-4.5,0.1,-4.4,-0.2
Career,NA,,NBA,,430,7341,13.9,0.538,0.445,8.4,12.4,11,6.9,2.1,0.2,20.7,17.2,NA,11,6.6,17.6,0.115,NA,-0.7,0,-0.8,1.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DET,NBA,,271,4339,14.9,0.539,0.4,9,12.7,11.6,6.2,2.5,0.4,15.2,16.4,NA,7.7,3.7,11.3,0.125,NA,-0.2,0.4,0.2,1
2 seasons,NA,SEA,NBA,,140,2651,13.3,0.545,0.537,8.2,12.2,10.1,8,1.8,0.2,NA,NA,NA,3.8,2.4,6.2,0.112,NA,-0.6,-0.3,-0.9,0.7
1 season,NA,POR,NBA,,19,351,6.6,0.461,0.465,6.7,12.5,9.6,6.9,2.4,0,24.6,17.8,NA,-0.4,0.5,0.1,0.012,NA,-4.5,0.1,-4.4,-0.2
