Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Carlos Terry,,0.8,0.8,-0.1,NA,NA
LaBradford Smith,96.4,0.8,0.8,-0.1,NA,NA
Charlie Davis,90.9,0.8,0.7,-0.1,NA,NA
Zoran Planinić,86.1,0.8,0.7,0.1,NA,NA
Tony Bennett,83.0,0.9,0.7,0,NA,NA
Litterial Green,81.0,0.8,0.8,0.1,0,-0.1
Kris Dunn,76.7,0.9,0.6,0.1,NA,NA
Tarence Kinsey,73.8,0.9,0.6,0,NA,NA
Stan Pietkiewicz,72.1,1,0.6,0,NA,NA
Sundiata Gaines,69.6,1,0.5,-0.1,NA,NA
Phil Rollins,68.6,1.1,0.7,0.1,NA,NA
