,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,SEA,NBA,,13,,,,,,10,11,,,,,,,,35
1968-69,25,TOT,NBA,,14,,,,,,6,9,,,,,,,,28
1968-69,25,SEA,NBA,,10,,,,,,6,9,,,,,,,,25
1968-69,25,CIN,NBA,,14,,,,,,5,7,,,,,,,6,28
1969-70,26,TOT,NBA,,10,,,,,,6,7,,,,,,,,24
1969-70,26,CHI,NBA,,10,15,,,,,6,6,,,15,4,,,4,24
1969-70,26,BAL,NBA,,6,,,,,,6,7,,,,,,,,14
1970-71,27,BAL,NBA,,7,,,,,,6,7,,,,,,,,20
1970-71,27,FLO,ABA,,11,,1,,,,5,8,,,,,,,,28
1971-72,28,FLO,ABA,,12,,3,,,,10,13,,,,,,,,28
Career,,,TOT,,14,,,,,,10,13,,,,,,,,35
,,,NBA,,14,,,,,,10,11,,,,,,,,35
,,,ABA,,12,,3,,,,10,13,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,SEA,NBA,,13,,,,,,10,11,,,,,,,,35
2 Seasons,,FLO,ABA,,12,,3,,,,10,13,,,,,,,,28
2 Seasons,,BAL,NBA,,7,,,,,,6,7,,,,,,,,20
1 Season,,CHI,NBA,,10,15,,,,,6,6,,,15,4,,,4,24
1 Season,,CIN,NBA,,14,,,,,,5,7,,,,,,,6,28
