,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,26,TOT,NBA,,2,,,,,,0,0,,,,,,,,4
1969-70,26,BAL,NBA,,2,,,,,,0,0,,,,,,,,4
1970-71,27,FLO,ABA,,6,,1,,,,5,7,,,,,,,,18
1971-72,28,FLO,ABA,,3,,0,,,,0,1,,,,,,,,6
Career,,,TOT,,6,,,,,,5,7,,,,,,,,18
,,,NBA,,2,,,,,,0,0,,,,,,,,4
,,,ABA,,6,,1,,,,5,7,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,
2 Seasons,,FLO,ABA,,6,,1,,,,5,7,,,,,,,,18
1 Season,,BAL,NBA,,2,,,,,,0,0,,,,,,,,4
