Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,SEA,NBA,PF,81,NA,29.2,5.4,12.2,0.442,NA,NA,NA,5.4,12.2,0.442,0.442,2.3,3.2,0.707,NA,NA,7.5,1.4,NA,NA,3.2,13.1
1968-69,25,TOT,NBA,PF,84,NA,22.4,4.3,9.6,0.446,NA,NA,NA,4.3,9.6,0.446,0.446,1.9,2.9,0.648,NA,NA,5.2,0.9,NA,NA,2.2,10.5
1968-69,25,SEA,NBA,PF,56,NA,22.5,4.2,9.7,0.432,NA,NA,NA,4.2,9.7,0.432,0.432,1.9,3.1,0.637,NA,NA,5.7,1,NA,NA,2,10.3
1968-69,25,CIN,NBA,PF,28,NA,22.4,4.5,9.5,0.475,NA,NA,NA,4.5,9.5,0.475,0.475,1.8,2.6,0.671,NA,NA,4.4,0.7,NA,NA,2.7,10.8
1969-70,26,TOT,NBA,PF,61,NA,13.4,2.4,4.7,0.512,NA,NA,NA,2.4,4.7,0.512,0.512,1.1,1.4,0.805,NA,NA,2.7,0.6,NA,NA,1.4,5.9
1969-70,26,CHI,NBA,PF,33,NA,16.9,2.9,5.7,0.513,NA,NA,NA,2.9,5.7,0.513,0.513,1.1,1.4,0.822,NA,NA,3.4,0.9,NA,NA,1.6,7
1969-70,26,BAL,NBA,PF,28,NA,9.4,1.8,3.4,0.51,NA,NA,NA,1.8,3.4,0.51,0.51,1.2,1.5,0.786,NA,NA,1.9,0.3,NA,NA,1.2,4.7
1970-71,27,TOT,TOT,PF,45,NA,13.5,2.6,5.9,0.447,0.1,0.2,0.429,2.6,5.7,0.447,0.453,1.3,1.6,0.808,0.4,NA,3.1,0.4,NA,0.6,1.6,6.6
1970-71,27,BAL,NBA,PF,31,NA,8.9,1.7,3.7,0.452,NA,NA,NA,1.7,3.7,0.452,0.452,0.8,1,0.806,NA,NA,2.4,0.2,NA,NA,1.1,4.2
1970-71,27,FLO,ABA,PF,14,NA,23.6,4.7,10.6,0.443,0.2,0.5,0.429,4.5,10.1,0.444,0.453,2.4,3,0.81,1.4,3.3,4.6,0.9,NA,1.8,2.9,12.1
1971-72,28,FLO,ABA,PF,81,NA,22.2,4.7,10,0.465,0.4,1,0.366,4.3,9,0.477,0.484,1.9,2.5,0.789,1.1,3.7,4.8,1.2,NA,1.6,2.5,11.6
Career,NA,,TOT,,352,NA,21.2,4.1,9,0.456,0.3,0.9,0.371,4,8.7,0.458,0.461,1.8,2.5,0.727,1.2,3.7,4.9,1,NA,1.6,2.3,10.1
,NA,,NBA,,257,NA,20.8,3.9,8.6,0.453,NA,NA,NA,3.9,8.6,0.453,0.453,1.7,2.4,0.702,NA,NA,5,0.9,NA,NA,2.2,9.5
,NA,,ABA,,95,NA,22.4,4.7,10.1,0.462,0.3,0.9,0.371,4.3,9.2,0.471,0.479,2,2.5,0.793,1.2,3.7,4.8,1.2,NA,1.6,2.6,11.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,137,NA,26.5,4.9,11.2,0.438,NA,NA,NA,4.9,11.2,0.438,0.438,2.2,3.2,0.68,NA,NA,6.7,1.2,NA,NA,2.7,12
2 seasons,NA,FLO,ABA,,95,NA,22.4,4.7,10.1,0.462,0.3,0.9,0.371,4.3,9.2,0.471,0.479,2,2.5,0.793,1.2,3.7,4.8,1.2,NA,1.6,2.6,11.7
2 seasons,NA,BAL,NBA,,59,NA,9.1,1.7,3.6,0.479,NA,NA,NA,1.7,3.6,0.479,0.479,1,1.2,0.795,NA,NA,2.1,0.2,NA,NA,1.1,4.4
1 season,NA,CHI,NBA,,33,NA,16.9,2.9,5.7,0.513,NA,NA,NA,2.9,5.7,0.513,0.513,1.1,1.4,0.822,NA,NA,3.4,0.9,NA,NA,1.6,7
1 season,NA,CIN,NBA,,28,NA,22.4,4.5,9.5,0.475,NA,NA,NA,4.5,9.5,0.475,0.475,1.8,2.6,0.671,NA,NA,4.4,0.7,NA,NA,2.7,10.8
