Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Al Tucker,,3.5,2.3,2.3,2.1,1.1
Mark Landsberger,92.9,3.4,2.2,2.2,1.9,1.7
Tom Hawkins,90.5,3.2,2.9,2.3,2.1,1.2
Nick Weatherspoon,90.5,3.6,2.6,2.4,2.1,0.6
J.R. Reid,89.4,3.4,3,2.1,1.8,1.1
Don Ford,89.0,3.5,2.8,2.5,2,1.5
Tim Bassett,88.7,3.7,2.6,2.4,1.5,1.1
Othella Harrington,87.2,3,2.5,2.2,1.7,1.4
Francisco García,87.0,4.2,2.4,2.4,1.6,1
Reggie Evans,86.2,3.8,3,2.3,2.1,1.7
Edgar Jones,85.9,3.4,3.4,2.4,2.3,0.9
