Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,SEA,NBA,PF,81,2368,12,0.48,NA,0.266,NA,NA,NA,6.1,NA,NA,NA,NA,1.1,1.2,2.3,0.046
1968-69,25,TOT,NBA,PF,84,1885,12.7,0.48,NA,0.302,NA,NA,NA,5.6,NA,NA,NA,NA,1.3,0.8,2.1,0.052
1968-69,25,SEA,NBA,PF,56,1259,12.9,0.468,NA,0.314,NA,NA,NA,6.2,NA,NA,NA,NA,0.4,0.7,1.1,0.044
1968-69,25,CIN,NBA,PF,28,626,12.4,0.507,NA,0.275,NA,NA,NA,4.3,NA,NA,NA,NA,0.8,0.1,0.9,0.07
1969-70,26,TOT,NBA,PF,61,819,13.3,0.56,NA,0.305,NA,NA,NA,6.2,NA,NA,NA,NA,1.5,0.8,2.3,0.134
1969-70,26,CHI,NBA,PF,33,557,12.9,0.553,NA,0.238,NA,NA,NA,7.6,NA,NA,NA,NA,0.9,0.5,1.4,0.123
1969-70,26,BAL,NBA,PF,28,262,14.1,0.572,NA,0.438,NA,NA,NA,3.3,NA,NA,NA,NA,0.6,0.3,0.9,0.158
1970-71,27,TOT,TOT,PF,45,607,13.1,0.503,0.027,0.277,NA,NA,10.3,4.4,NA,13,21.7,NA,0.5,0.5,1.1,0.085
1970-71,27,BAL,NBA,PF,31,276,13.7,0.501,NA,0.27,NA,NA,11.7,3.4,NA,NA,NA,NA,0.3,0.3,0.6,0.107
1970-71,27,FLO,ABA,PF,14,331,12.6,0.505,0.047,0.282,NA,NA,9.2,5.2,NA,13,21.7,NA,0.3,0.2,0.5,0.067
1971-72,28,FLO,ABA,PF,81,1799,14.7,0.524,0.101,0.246,4.8,16.5,10.6,8.4,NA,12.6,22.1,NA,2.2,1.2,3.5,0.093
Career,NA,,TOT,,352,7478,13.1,0.5,0.028,0.274,4.8,16.5,10.5,6.4,NA,12.6,22,NA,6.7,4.5,11.1,0.072
,NA,,NBA,,257,5348,12.6,0.492,NA,0.284,NA,NA,11.7,5.8,NA,NA,NA,NA,4.2,3.1,7.2,0.065
,NA,,ABA,,95,2130,14.3,0.521,0.093,0.251,4.8,16.5,10.3,7.9,NA,12.6,22,NA,2.5,1.4,3.9,0.089
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,137,3627,12.3,0.475,NA,0.283,NA,NA,NA,6.1,NA,NA,NA,NA,1.5,1.9,3.4,0.045
2 seasons,NA,FLO,ABA,,95,2130,14.3,0.521,0.093,0.251,4.8,16.5,10.3,7.9,NA,12.6,22,NA,2.5,1.4,3.9,0.089
2 seasons,NA,BAL,NBA,,59,538,13.9,0.535,NA,0.346,NA,NA,11.7,3.4,NA,NA,NA,NA,0.9,0.6,1.5,0.132
1 season,NA,CHI,NBA,,33,557,12.9,0.553,NA,0.238,NA,NA,NA,7.6,NA,NA,NA,NA,0.9,0.5,1.4,0.123
1 season,NA,CIN,NBA,,28,626,12.4,0.507,NA,0.275,NA,NA,NA,4.3,NA,NA,NA,NA,0.8,0.1,0.9,0.07
