Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,SEA,NBA,PF,81,NA,2368,6.6,15,0.442,NA,NA,NA,6.6,15,0.442,2.8,4,0.707,NA,NA,9.2,1.7,NA,NA,4,16.1
1968-69,25,TOT,NBA,PF,84,NA,1885,6.9,15.5,0.446,NA,NA,NA,6.9,15.5,0.446,3,4.7,0.648,NA,NA,8.4,1.4,NA,NA,3.6,16.8
1968-69,25,SEA,NBA,PF,56,NA,1259,6.7,15.6,0.432,NA,NA,NA,6.7,15.6,0.432,3.1,4.9,0.637,NA,NA,9.1,1.6,NA,NA,3.2,16.6
1968-69,25,CIN,NBA,PF,28,NA,626,7.2,15.2,0.475,NA,NA,NA,7.2,15.2,0.475,2.8,4.2,0.671,NA,NA,7,1.1,NA,NA,4.3,17.3
1969-70,26,TOT,NBA,PF,61,NA,819,6.4,12.5,0.512,NA,NA,NA,6.4,12.5,0.512,3.1,3.8,0.805,NA,NA,7.3,1.7,NA,NA,3.8,15.9
1969-70,26,CHI,NBA,PF,33,NA,557,6.3,12.2,0.513,NA,NA,NA,6.3,12.2,0.513,2.4,2.9,0.822,NA,NA,7.3,2,NA,NA,3.4,14.9
1969-70,26,BAL,NBA,PF,28,NA,262,6.7,13.2,0.51,NA,NA,NA,6.7,13.2,0.51,4.5,5.8,0.786,NA,NA,7.3,1,NA,NA,4.7,18
1970-71,27,TOT,TOT,PF,45,NA,607,7,15.7,0.447,0.2,0.4,0.429,6.8,15.2,0.447,3.5,4.3,0.808,1.1,NA,8.2,1.1,NA,1.5,4.3,17.7
1970-71,27,BAL,NBA,PF,31,NA,276,6.8,15,0.452,NA,NA,NA,6.8,15,0.452,3.3,4,0.806,NA,NA,9.5,0.9,NA,NA,4.3,16.8
1970-71,27,FLO,ABA,PF,14,NA,331,7.2,16.2,0.443,0.3,0.8,0.429,6.9,15.4,0.444,3.7,4.6,0.81,2.1,5,7.1,1.3,NA,2.7,4.4,18.4
1971-72,28,FLO,ABA,PF,81,NA,1799,7.5,16.2,0.465,0.6,1.6,0.366,6.9,14.6,0.477,3.1,4,0.789,1.8,6,7.8,2,NA,2.6,4.1,18.8
Career,NA,,TOT,,352,NA,7478,6.9,15.2,0.456,0.6,1.5,0.371,6.8,14.8,0.458,3,4.2,0.727,1.9,5.9,8.4,1.6,NA,2.6,3.9,17
,NA,,NBA,,257,NA,5348,6.7,14.8,0.453,NA,NA,NA,6.7,14.8,0.453,3,4.2,0.702,NA,NA,8.6,1.5,NA,NA,3.8,16.4
,NA,,ABA,,95,NA,2130,7.5,16.2,0.462,0.6,1.5,0.371,6.9,14.7,0.471,3.2,4.1,0.793,1.9,5.9,7.7,1.9,NA,2.6,4.1,18.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,137,NA,3627,6.7,15.2,0.438,NA,NA,NA,6.7,15.2,0.438,2.9,4.3,0.68,NA,NA,9.2,1.6,NA,NA,3.7,16.3
2 seasons,NA,FLO,ABA,,95,NA,2130,7.5,16.2,0.462,0.6,1.5,0.371,6.9,14.7,0.471,3.2,4.1,0.793,1.9,5.9,7.7,1.9,NA,2.6,4.1,18.8
2 seasons,NA,BAL,NBA,,59,NA,538,6.8,14.1,0.479,NA,NA,NA,6.8,14.1,0.479,3.9,4.9,0.795,NA,NA,8.4,0.9,NA,NA,4.5,17.4
1 season,NA,CHI,NBA,,33,NA,557,6.3,12.2,0.513,NA,NA,NA,6.3,12.2,0.513,2.4,2.9,0.822,NA,NA,7.3,2,NA,NA,3.4,14.9
1 season,NA,CIN,NBA,,28,NA,626,7.2,15.2,0.475,NA,NA,NA,7.2,15.2,0.475,2.8,4.2,0.671,NA,NA,7,1.1,NA,NA,4.3,17.3
