Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Al Tucker,,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
Lew Hitch,92.1,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Mike Muscala,89.7,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Mark Landsberger,88.2,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
Chuck Cooper,86.1,3.3,3.1,2.4,1.7,1.1,0,NA,NA
James Ennis,84.4,3.1,3.1,2.6,1.9,0.9,NA,NA,NA
Don Ford,84.4,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
T.J. Warren,84.0,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Ron Behagen,83.9,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
Scott Padgett,83.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
E.C. Coleman,83.0,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
