Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24,SEA,NBA,PF,81,NA,2368,437,989,0.442,NA,NA,NA,437,989,0.442,0.442,186,263,0.707,NA,NA,605,111,NA,NA,262,1060
1968-69,25,TOT,NBA,PF,84,NA,1885,361,809,0.446,NA,NA,NA,361,809,0.446,0.446,158,244,0.648,NA,NA,439,74,NA,NA,186,880
1968-69,25,SEA,NBA,PF,56,NA,1259,235,544,0.432,NA,NA,NA,235,544,0.432,0.432,109,171,0.637,NA,NA,317,55,NA,NA,111,579
1968-69,25,CIN,NBA,PF,28,NA,626,126,265,0.475,NA,NA,NA,126,265,0.475,0.475,49,73,0.671,NA,NA,122,19,NA,NA,75,301
1969-70,26,TOT,NBA,PF,61,NA,819,146,285,0.512,NA,NA,NA,146,285,0.512,0.512,70,87,0.805,NA,NA,166,38,NA,NA,86,362
1969-70,26,CHI,NBA,PF,33,NA,557,97,189,0.513,NA,NA,NA,97,189,0.513,0.513,37,45,0.822,NA,NA,113,31,NA,NA,52,231
1969-70,26,BAL,NBA,PF,28,NA,262,49,96,0.51,NA,NA,NA,49,96,0.51,0.51,33,42,0.786,NA,NA,53,7,NA,NA,34,131
1970-71,27,TOT,TOT,PF,45,NA,607,118,264,0.447,3,7,0.429,115,257,0.447,0.453,59,73,0.808,19,NA,138,19,NA,25,73,298
1970-71,27,BAL,NBA,PF,31,NA,276,52,115,0.452,NA,NA,NA,52,115,0.452,0.452,25,31,0.806,NA,NA,73,7,NA,NA,33,129
1970-71,27,FLO,ABA,PF,14,NA,331,66,149,0.443,3,7,0.429,63,142,0.444,0.453,34,42,0.81,19,46,65,12,NA,25,40,169
1971-72,28,FLO,ABA,PF,81,NA,1799,377,810,0.465,30,82,0.366,347,728,0.477,0.484,157,199,0.789,91,301,392,100,NA,129,205,941
Career,NA,,TOT,,352,NA,7478,1439,3157,0.456,33,89,0.371,1406,3068,0.458,0.461,630,866,0.727,110,347,1740,342,NA,154,812,3541
,NA,,NBA,,257,NA,5348,996,2198,0.453,NA,NA,NA,996,2198,0.453,0.453,439,625,0.702,NA,NA,1283,230,NA,NA,567,2431
,NA,,ABA,,95,NA,2130,443,959,0.462,33,89,0.371,410,870,0.471,0.479,191,241,0.793,110,347,457,112,NA,154,245,1110
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,SEA,NBA,,137,NA,3627,672,1533,0.438,NA,NA,NA,672,1533,0.438,0.438,295,434,0.68,NA,NA,922,166,NA,NA,373,1639
2 seasons,NA,FLO,ABA,,95,NA,2130,443,959,0.462,33,89,0.371,410,870,0.471,0.479,191,241,0.793,110,347,457,112,NA,154,245,1110
2 seasons,NA,BAL,NBA,,59,NA,538,101,211,0.479,NA,NA,NA,101,211,0.479,0.479,58,73,0.795,NA,NA,126,14,NA,NA,67,260
1 season,NA,CHI,NBA,,33,NA,557,97,189,0.513,NA,NA,NA,97,189,0.513,0.513,37,45,0.822,NA,NA,113,31,NA,NA,52,231
1 season,NA,CIN,NBA,,28,NA,626,126,265,0.475,NA,NA,NA,126,265,0.475,0.475,49,73,0.671,NA,NA,122,19,NA,NA,75,301
