Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
James Young,,0.3,0.3,0.1,0.1
Elliot Williams,83.4,0.3,0.3,0.1,0
Julyan Stone,82.6,0.4,0.3,0.2,0.1
Milt Williams,78.5,0.4,0.2,0.1,0.1
Briante Weber,76.8,0.4,0.3,0,NA
James White,68.5,0.5,0.3,0,NA
Anthony Jones,68.1,0.5,0.3,0,NA
Jordan McRae,67.0,0.5,0.4,0.2,NA
Doug Lee,66.8,0.4,0.4,0,NA
Xavier Henry,63.5,0.3,0.2,0.2,0
Pete Myers,63.3,0.5,0.3,0,-0.1
