,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2015-16,20,BOS,NBA,SG,3,10,.333,19.7,.667,.000,.000,.000,.667,.333,.500,,,,.500,.000,1.000,.000,0,,.000,,0,0
2016-17,21,BOS,NBA,SG,10,39,.333,24.6,.067,.000,.000,.000,.067,.933,.000,,,,.000,.357,,.000,0,1.000,.357,.400,0,0
Career,,,NBA,,13,49,.333,23.8,.167,.000,.000,.000,.167,.833,.333,,,,.333,.333,1.000,.000,0,1.000,.333,.400,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,13,49,.333,23.8,.167,.000,.000,.000,.167,.833,.333,,,,.333,.333,1.000,.000,0,1.000,.333,.400,0,0
