Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Trey Johnson,,0.1,0,-0.1
Jared Cunningham,32.2,0.1,0,0
Bo Kimble,28.8,0.1,0,0
Dell Demps,10.4,0.2,0,0
Ira Bowman,-7.6,0.1,0.1,0
Jarell Eddie,-13.7,0.1,0.1,0
Michael Hawkins,-27.3,0.2,0,0
Andrew Goudelock,-33.4,0.1,0,0
Jamison Brewer,-35.5,0.2,0,0
Dominique Jones,-36.1,0.2,0,0
Willie Smith,-37.0,0.3,0,0
