Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jeff Adrien,,2.7,1,0.4,0.2,0.1,NA
Bob Quick,86.8,2.6,0.8,0.6,0.3,NA,NA
Dennis Hamilton,84.6,2.8,0.7,0.5,0,NA,NA
Derrick Jones,84.4,2.9,1.1,0.4,NA,NA,NA
Charles Jones,83.9,2.9,0.9,0.6,0.1,NA,NA
Dick Schulz,80.6,2.9,0.8,0.6,0,NA,NA
Walter Herrmann,80.1,2.4,1,0.7,NA,NA,NA
Kenny Fields,79.0,2.8,0.7,0.7,0,NA,NA
Sam Young,77.6,2.9,1.2,0.9,0.2,NA,NA
Jeff Lamp,76.3,3,1,0.7,0.6,0,-0.1
Grady Lewis,76.3,2.4,1.1,0.8,NA,NA,NA
