Season,Team,Lg,Salary
2010-11,Golden State Warriors,NBA,"$342,666"
2011-12,Houston Rockets,NBA,"$270,427"
2012-13,Charlotte Bobcats,NBA,"$804,131"
2013-14,Charlotte Bobcats,NBA,"$916,099"
2014-15,Houston Rockets,NBA,"$981,084"
Career,(may be incomplete),,"$3,314,407"
