Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Marcus Banks,,2.3,1.9,0.8,0.7,0.5,0.4,0,0
Claude Terry,82.1,2.4,1.8,1,1,0.8,0,NA,NA
Travis Diener,80.0,2.5,1.9,0.7,0.6,0,NA,NA,NA
Chris Douglas-Roberts,78.3,2.4,1.6,0.7,0.6,0.1,0,NA,NA
Hollis Thompson,77.3,2.6,2,1.2,0.7,NA,NA,NA,NA
John Wetzel,76.1,2,1.5,1.1,0.7,0.5,0.5,0.4,NA
Mike Barr,75.8,2.7,1.7,1.4,0.7,0.4,NA,NA,NA
James Robinson,75.0,2.3,1.9,1.2,0.2,0.2,0,-0.1,NA
Tim Frazier,74.4,2.4,2,1.4,1,-0.1,NA,NA,NA
Dion Glover,74.4,2.6,1.1,0.9,0.8,0.3,0.2,NA,NA
Jeff Judkins,74.2,3,1.8,0.7,0.6,0.2,NA,NA,NA
