Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Dave Newmark,,0.8,0.7,0.4,NA,NA
Roger Brown,79.6,0.9,0.7,0.4,0.2,0.1
Mamadou N'Diaye,74.6,0.8,0.6,0.3,0.2,0
Todd Fuller,73.9,0.7,0.7,0.6,0.2,0
Keith Closs,73.1,1.1,0.6,0.2,NA,NA
Hamed Haddadi,69.9,0.6,0.6,0.4,0.1,0
Jabari Smith,60.5,0.7,0.5,0.2,0,NA
Jason Collier,60.1,1.2,0.4,0.3,0,0
Earl Williams,60.0,1.3,1,0.4,0,NA
Pétur Guðmundsson,58.4,1.4,0.6,0.3,-0.1,NA
Bernard James,58.1,1.2,0.5,0.1,NA,NA
