Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,CHI,NBA,C,81,NA,1159,5.7,14.8,0.389,NA,NA,NA,5.7,14.8,0.389,2.7,4.3,0.619,NA,NA,10.8,1.8,NA,6.4,14.2
1969-70,23,ATL,NBA,C,64,NA,612,7.5,17.4,0.429,NA,NA,NA,7.5,17.4,0.429,3.5,4.5,0.766,NA,NA,10.2,2.5,NA,7.5,18.4
1970-71,24,CAR,ABA,C,31,NA,457,7.9,16.5,0.478,0,0,NA,7.9,16.5,0.478,2.7,4.7,0.567,3.6,8.7,12.4,2.2,3.2,6.6,18.4
Career,NA,,TOT,,176,NA,2228,6.7,15.8,0.42,0,0,NA,6.7,15.8,0.42,2.9,4.5,0.649,3.6,8.7,11,2.1,3.2,6.7,16.2
,NA,,NBA,,145,NA,1771,6.3,15.7,0.405,NA,NA,NA,6.3,15.7,0.405,2.9,4.4,0.671,NA,NA,10.6,2,NA,6.8,15.6
,NA,,ABA,,31,NA,457,7.9,16.5,0.478,0,0,NA,7.9,16.5,0.478,2.7,4.7,0.567,3.6,8.7,12.4,2.2,3.2,6.6,18.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,81,NA,1159,5.7,14.8,0.389,NA,NA,NA,5.7,14.8,0.389,2.7,4.3,0.619,NA,NA,10.8,1.8,NA,6.4,14.2
1 season,NA,ATL,NBA,,64,NA,612,7.5,17.4,0.429,NA,NA,NA,7.5,17.4,0.429,3.5,4.5,0.766,NA,NA,10.2,2.5,NA,7.5,18.4
1 season,NA,CAR,ABA,,31,NA,457,7.9,16.5,0.478,0,0,NA,7.9,16.5,0.478,2.7,4.7,0.567,3.6,8.7,12.4,2.2,3.2,6.6,18.4
