,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,22,CHI,NBA,,10,23,,,,,6,7,,,14,3,,6,22
1969-70,23,ATL,NBA,,9,,,,,,9,11,,,,,,,19
1970-71,24,CAR,ABA,,9,,0,,,,4,9,,,,,,,20
Career,,,TOT,,10,,,,,,9,11,,,,,,,22
,,,NBA,,10,,,,,,9,11,,,,,,,22
,,,ABA,,9,,0,,,,4,9,,,,,,,20
,,,,,,,,,,,,,,,,,,,
1 Season,,CHI,NBA,,10,23,,,,,6,7,,,14,3,,6,22
1 Season,,ATL,NBA,,9,,,,,,9,11,,,,,,,19
1 Season,,CAR,ABA,,9,,0,,,,4,9,,,,,,,20
