Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Dave Newmark,,0.8,0.7,0.4
Roger Brown,89.3,0.9,0.7,0.4
Bill Wennington,83.9,0.9,0.5,0.4
Todd Fuller,83.6,0.7,0.7,0.6
Timofey Mozgov,80.5,1.1,0.7,0.6
Steven Hunter,74.7,1,0.9,0.6
Keith Closs,73.1,1.1,0.6,0.2
Steve Scheffler,72.6,0.6,0.6,0.3
Walt Davis,69.9,0.9,0.9,0.8
Eric Riley,69.2,0.6,0.5,0.4
Cole Aldrich,67.8,0.6,0.6,0.2
