Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,22,CHI,NBA,C,81,1159,11.2,0.425,NA,0.293,NA,NA,NA,7.3,NA,NA,NA,-0.9,1.7,0.8,0.034
1969-70,23,ATL,NBA,C,64,612,12.7,0.474,NA,0.26,NA,NA,NA,9.1,NA,NA,NA,0.1,0.4,0.4,0.033
1970-71,24,CAR,ABA,C,31,457,14.7,0.497,0,0.287,NA,NA,15.6,8.5,14.8,21.9,NA,0.3,0.4,0.7,0.073
Career,NA,,TOT,,176,2228,12.3,0.455,0,0.282,NA,NA,15.6,8,14.8,21.9,NA,-0.5,2.5,1.9,0.042
,NA,,NBA,,145,1771,11.7,0.444,NA,0.28,NA,NA,NA,7.9,NA,NA,NA,-0.8,2.1,1.2,0.034
,NA,,ABA,,31,457,14.7,0.497,0,0.287,NA,NA,15.6,8.5,14.8,21.9,NA,0.3,0.4,0.7,0.073
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,81,1159,11.2,0.425,NA,0.293,NA,NA,NA,7.3,NA,NA,NA,-0.9,1.7,0.8,0.034
1 season,NA,ATL,NBA,,64,612,12.7,0.474,NA,0.26,NA,NA,NA,9.1,NA,NA,NA,0.1,0.4,0.4,0.033
1 season,NA,CAR,ABA,,31,457,14.7,0.497,0,0.287,NA,NA,15.6,8.5,14.8,21.9,NA,0.3,0.4,0.7,0.073
