Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jorge Gutiérrez,,0.3,0.3,0.2,NA,NA
Xavier Henry,86.2,0.3,0.2,0.2,0,-0.1
Drew Barry,74.4,0.3,0.2,0.1,NA,NA
Julyan Stone,69.7,0.4,0.3,0.2,0.1,NA
Kennard Winchester,67.9,0.5,0.4,0.3,NA,NA
Elliot Williams,65.9,0.3,0.3,0.1,0,NA
Lance Blanks,65.7,0.4,0.2,0.1,NA,NA
Jordan McRae,65.4,0.5,0.4,0.2,NA,NA
Briante Weber,63.8,0.4,0.3,0,NA,NA
Rusty LaRue,63.6,0.3,0.3,0.1,-0.1,-0.1
Milt Williams,61.5,0.4,0.2,0.1,0.1,NA
