Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
DerMarr Johnson,,3.2,1.7,1.3,0.4,0.1,0,-0.3
Mike Farmer,89.9,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1
Lorenzo Williams,83.1,3.1,1.7,1.1,0.4,0.4,0.3,0.3
Simmie Hill,82.9,3.1,1.6,1.2,1,NA,NA,NA
Darius Miller,82.1,3,1.6,0.8,0.5,-0.1,NA,NA
John Trapp,82.0,3.3,1.2,1.2,0.6,0,NA,NA
Cristiano Felício,81.6,3.4,1.7,1.4,1.2,NA,NA,NA
Barney Cable,80.0,3.3,1.6,0.7,0.4,0.3,0.1,NA
James Hardy,79.6,2.5,1.8,1.3,0.7,NA,NA,NA
Sam Mack,79.4,2.8,1.9,1.3,1.1,0.3,0,-0.1
George Lee,79.2,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
