,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1968-69,23,CHI,NBA,,9,21,7,9,,,24,7,,,,6,23,
1969-70,24,CHI,NBA,,12,21,7,10,,,37,10,,,,6,29,
1970-71,25,CHI,NBA,,10,20,9,12,,,33,10,,,,6,26,
1971-72,26,CHI,NBA,,7,,6,8,,,,,,,,,16,
1972-73,27,CHI,NBA,,3,5,3,6,,,9,9,,,,5,7,
1973-74,28,CHI,NBA,,5,,8,9,,,,,,,,,16,
1974-75,29,CHI,NBA,,7,14,5,5,,,20,11,,,,5,17,
1975-76,30,CHI,NBA,,12,,7,12,,,,,,,,,31,
1976-77,31,CHI,NBA,,9,16,4,4,,,16,7,,,,5,19,
1977-78,32,CHI,NBA,,4,5,3,4,,,7,,,,,4,10,
Career,,,,,12,,9,12,,,,,,,,,31,
