Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,28,CHI,NBA,C,46,NA,602,4.4,9,0.487,3.2,4.6,0.7,4,12.2,16.2,7.1,1.2,1.4,NA,6.1,12,NA,NA,90
1974-75,29,CHI,NBA,C,80,NA,1175,5.4,11.1,0.487,3,3.9,0.768,4.3,11.3,15.6,11.1,1,1.8,NA,6.7,13.8,NA,NA,92
1975-76,30,CHI,NBA,C,74,NA,2045,6.2,12.4,0.5,2.8,4.1,0.667,6.2,12.4,18.5,6.6,1.1,1.2,NA,6.2,15.2,NA,NA,95
1976-77,31,CHI,NBA,C,82,NA,1070,6,12.2,0.491,1.5,2.8,0.54,4.5,9.5,14,8.5,0.9,0.9,NA,6.6,13.5,NA,NA,97
1977-78,32,CHI,NBA,C,22,NA,227,4.8,10.4,0.46,2.1,2.7,0.769,2.9,9.4,12.3,9.2,0.6,0.8,5.4,7.5,11.7,NA,92,103
Career,NA,,NBA,,304,NA,5119,5.7,11.6,0.453,2.6,3.8,0.675,5,11.4,16.4,8.2,1,1.3,0.2,6.4,14,NA,92,94
