Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,CHI,NBA,C,80,NA,2365,4.8,12.6,0.383,2.2,3.4,0.653,NA,NA,13.5,2.7,NA,NA,NA,4.8,11.9
1969-70,24,CHI,NBA,C,81,NA,2335,5.4,11.9,0.449,2.3,3.5,0.664,NA,NA,15.7,3.5,NA,NA,NA,3.9,13
1970-71,25,CHI,NBA,C,82,NA,2370,5.4,11.2,0.485,2.6,3.5,0.724,NA,NA,17.2,6,NA,NA,NA,4.2,13.4
1971-72,26,CHI,NBA,C,80,NA,2022,3.9,8.9,0.438,2.1,3.2,0.656,NA,NA,16,5,NA,NA,NA,4.5,9.9
1972-73,27,CHI,NBA,C,8,NA,176,1.8,4.9,0.375,2.5,4.1,0.6,NA,NA,11,8.2,NA,NA,NA,4.5,6.1
1973-74,28,CHI,NBA,C,46,NA,602,3.5,7.1,0.487,2.5,3.6,0.7,3.2,9.6,12.7,5.6,1,1.1,NA,4.8,9.4
1974-75,29,CHI,NBA,C,80,NA,1175,4,8.3,0.487,2.2,2.9,0.768,3.2,8.4,11.6,8.3,0.8,1.4,NA,5,10.3
1975-76,30,CHI,NBA,C,74,NA,2045,4.7,9.3,0.5,2.1,3.1,0.667,4.6,9.3,13.9,5,0.8,0.9,NA,4.6,11.4
1976-77,31,CHI,NBA,C,82,NA,1070,4.5,9.2,0.491,1.1,2.1,0.54,3.4,7.1,10.5,6.4,0.6,0.6,NA,4.9,10.2
1977-78,32,CHI,NBA,C,22,NA,227,3.6,7.9,0.46,1.6,2.1,0.769,2.2,7.1,9.4,7,0.5,0.6,4.1,5.7,8.9
Career,NA,,NBA,,635,NA,14387,4.7,10.3,0.453,2.2,3.2,0.675,3.8,8.6,14.4,5,0.8,1,4.1,4.5,11.5
