Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,23,SYR,NBA,PG,72,NA,1405,149,388,0.384,136,182,0.747,247,122,138,434
1954-55,24,SYR,NBA,SG,70,NA,1380,172,482,0.357,154,201,0.766,247,150,132,498
1955-56,25,SYR,NBA,PG,72,NA,1278,170,448,0.379,195,257,0.759,215,159,132,535
1956-57,26,FTW,NBA,SG,71,NA,1701,204,608,0.336,174,218,0.798,324,172,169,582
1957-58,27,DET,NBA,SG,35,NA,649,106,280,0.379,46,75,0.613,102,66,68,258
1959-60,29,DET,NBA,SG,25,NA,365,47,131,0.359,33,41,0.805,71,46,31,127
Career,NA,,NBA,,345,NA,6778,848,2337,0.363,738,974,0.758,1206,715,670,2434
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,SYR,NBA,,214,NA,4063,491,1318,0.373,485,640,0.758,709,431,402,1467
3 seasons,NA,"FTW,DET",NBA,,131,NA,2715,357,1019,0.35,253,334,0.757,497,284,268,967
