Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Billy Kenville,,4.5,3.9,3,1.4,0.5,0.4,NA
Allen Crabbe,91.2,4.3,4.2,3.2,1.3,0.8,0.1,NA
Charles Dudley,87.8,4.6,4,3.6,1.6,0.2,-0.1,NA
Whitey Skoog,85.7,4.1,3.6,2.9,1.9,1,0.7,NA
Paul Hoffman,85.1,4.7,4.1,2.2,1.1,0.8,NA,NA
Eric Money,84.5,4.2,3.6,3.3,2.7,0.6,0.3,NA
Skeeter Swift,83.9,4.3,3.4,2.7,1.8,0,NA,NA
Slick Watts,83.9,4.7,3.3,2.7,1.2,1.2,0.8,NA
Lee Winfield,83.9,4.5,2.8,2.4,1.6,0.5,0.4,-0.1
T.J. McConnell,83.0,3.8,3.8,2.9,1.9,NA,NA,NA
Al Wood,82.0,4.4,4.2,2.5,2.3,1,0.9,NA
