Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Darius Miles,,3.6,3.4,3,1.3,0.5,-1,-1.3
Dwight Davis,72.2,3.7,3.3,2.3,1.5,0.6,NA,NA
Stew Johnson,71.8,4.3,3.6,2.7,1.8,-0.3,-0.4,-1.5
Don Collins,71.5,3.5,3.4,2.6,0.9,0,0,NA
Jason Caffey,70.5,3.9,3.5,2.7,1.6,0.5,0.4,0.3
Marv Roberts,70.2,4.3,3.4,2.4,1.2,0.4,-0.2,NA
Tom Abernethy,70.1,4.1,3.7,3.1,2,0.4,NA,NA
Andray Blatche,70.0,3.4,3,2.4,1.4,0.5,0.1,-0.1
Richaun Holmes,67.6,4.3,3.8,2.8,1.5,NA,NA,NA
Duane Ferrell,67.3,3.5,3.2,2.8,1.9,1.2,0.4,-0.1
Dave Budd,67.2,4.1,3.2,2.3,1.2,0.9,NA,NA
