Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jon Brockman,,1.9,1.7,0.1,NA,NA
Rudy Macklin,86.7,1.8,1.4,0.1,NA,NA
Joe Holup,86.1,2.1,1.8,0.3,NA,NA
Anthony Roberts,85.7,1.9,1.7,0.1,-0.2,-0.2
Kenny Battle,82.1,1.9,1.3,0.3,0.1,NA
Jim Palmer,80.1,2.4,1.9,0.2,NA,NA
Joel Freeland,80.0,1.6,1.4,0.2,NA,NA
Sam Pellom,77.6,2.2,1.8,0.7,0,NA
Jan Veselý,77.6,1.7,1.6,0.7,NA,NA
Jim Bradley,77.4,2.3,1.3,0.1,NA,NA
Donnell Harvey,76.3,2,1.8,0.7,0.2,0.1
