Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Maurice Evans,,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA,NA
Lionel Hollins,92.5,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,NA
Greg Buckner,92.3,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.3,0.1,NA
Herm Gilliam,91.0,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA,NA
Carlos Arroyo,90.2,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3,NA,NA
Carlos Delfino,89.7,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA,NA,NA
Jim Price,89.5,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA,NA,NA
Randy Foye,88.9,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4,0.2
Jeremy Lin,88.6,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0,NA,NA
Johnny Egan,88.4,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0.5,0.5,0
Anthony Morrow,86.9,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA
