Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Maurice Evans,,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1
Greg Buckner,93.3,4.8,3.8,3.1,2.3,2.2,2,1.8,0.3,0.1
Dell Curry,91.8,5,3.4,3.3,3.2,2.7,2,1.8,0.9,0.5
Herm Gilliam,91.0,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA
Johnny Egan,90.8,5.1,3.6,3.2,3.1,3.1,2,1.4,1.3,0
Randy Foye,90.4,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
Carlos Arroyo,90.2,4.7,3.7,2.8,2.7,2.5,1.7,1.3,0.4,0.3
Carlos Delfino,89.7,4.8,4,3.5,3.5,2.9,2.4,1,0.5,NA
Jim Price,89.5,5,3.7,2.7,2.6,2.4,1.8,1.5,NA,NA
Jeremy Lin,88.6,5.4,4.4,3.5,2.7,2.7,2.1,2.1,0.5,0
Lionel Hollins,87.8,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1,0.1
