,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1961-62,22,PHW,NBA,,0,2,2,3,1,1,3,2
Career,,,,,0,2,2,3,1,1,3,2
