Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Billy Ray Bates,,3.6,2.4,0.9,0
Ron Sobie,95.2,3.6,2.6,0.9,0.1
Gerald Henderson,88.0,3.3,2.4,1,0.4
Roger Phegley,87.3,3.7,2.6,1.6,0
Pat Connaughton,87.1,3.9,2.5,0.6,-0.2
Ennis Whatley,87.1,3.3,1.9,0.8,0
Louie Nelson,86.1,2.9,2.3,1.1,0
Terry Furlow,85.8,3.3,2.8,1.1,0
Ron Lee,85.8,3.8,2.8,0.8,0.3
Charles Johnson,85.4,3.7,2.4,1,0.9
Raja Bell,85.2,3.7,1.7,1.1,-0.1
