Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Billy Ray Bates,,3.6,2.4,0.9,0,NA,NA,NA
Ron Sobie,95.2,3.6,2.6,0.9,0.1,NA,NA,NA
Pat Connaughton,87.1,3.9,2.5,0.6,-0.2,NA,NA,NA
Louie Nelson,86.0,2.9,2.3,1.1,0,0,NA,NA
Terry Furlow,85.8,3.3,2.8,1.1,0,NA,NA,NA
Jim Les,83.8,3.6,2.3,1.3,0.3,0.3,0.2,0.1
Curly Armstrong,83.5,3.5,3.1,0.6,NA,NA,NA,NA
Al Butler,82.4,4.1,2.1,1.1,-0.3,NA,NA,NA
Stan Stutz,82.3,3.9,1.7,1.1,NA,NA,NA,NA
Earl Tatum,82.3,4.4,2.6,0.7,0,NA,NA,NA
Mike Butler,81.6,3.1,2.3,1.6,0.1,NA,NA,NA
