Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Linton Johnson,,1.9,0.4,0.4,0,0,0
Kornél Dávid,87.0,1.7,0.4,0.3,NA,NA,NA
Joe Roberts,86.3,1.9,0.2,0.2,0,NA,NA
Billy Schaeffer,80.5,1.9,0.8,0.5,NA,NA,NA
Jim Holstein,79.9,1.8,0.6,0.2,NA,NA,NA
Henry James,77.5,2,0.6,0.3,0.2,0.1,0.1
Ron Bonham,75.6,1.8,0.7,0.2,NA,NA,NA
Joey Dorsey,75.5,1.9,0.8,0.1,0,NA,NA
Alan Williams,75.3,2.1,0.2,0.2,0,NA,NA
Red Morrison,75.1,1.7,0.5,0,NA,NA,NA
Gerard King,74.5,2.3,0.5,0.2,NA,NA,NA
