Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Milt Williams,,0.4,0.2,0.1,0.1,NA
Julyan Stone,81.8,0.4,0.3,0.2,0.1,NA
Derrick Dial,79.1,0.4,0.1,0.1,0.1,NA
James Young,78.5,0.3,0.3,0.1,0.1,NA
Lance Blanks,77.8,0.4,0.2,0.1,NA,NA
Briante Weber,75.4,0.4,0.3,0,NA,NA
Elliot Williams,68.2,0.3,0.3,0.1,0,NA
Drew Barry,66.1,0.3,0.2,0.1,NA,NA
Bob Duffy,63.1,0.3,0.1,0.1,NA,NA
Xavier Henry,62.6,0.3,0.2,0.2,0,-0.1
Jorge Gutiérrez,61.5,0.3,0.3,0.2,NA,NA
