Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Milt Williams,,0.4,0.2,0.1,0.1
Julyan Stone,81.8,0.4,0.3,0.2,0.1
Derrick Dial,79.1,0.4,0.1,0.1,0.1
James Young,78.5,0.3,0.3,0.1,0.1
Lance Blanks,77.8,0.4,0.2,0.1,NA
Briante Weber,75.4,0.4,0.3,0,NA
Xavier Henry,69.5,0.3,0.2,0.2,0
Elliot Williams,68.2,0.3,0.3,0.1,0
Drew Barry,66.1,0.3,0.2,0.1,NA
Rusty LaRue,63.6,0.3,0.3,0.1,-0.1
Bob Duffy,63.1,0.3,0.1,0.1,NA
