Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,22,LAS,ABA,PG,1,NA,11:00,1,3,0.333,0,0,NA,1,1,1,1,2,1,NA,NA,0,1,3
Career,NA,,ABA,,1,NA,11,1,3,0.333,0,0,NA,1,1,1,1,2,1,NA,NA,0,1,3
