Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mervin Jackson,,3.1,3.1,1.8,-0.2,-0.2
George Karl,84.9,3.4,3.3,1.3,0,-0.2
Mike Butler,82.5,3.1,2.3,1.6,0.1,NA
Tyus Jones,82.0,3.6,3,1.5,0.3,NA
Terry Furlow,81.3,3.3,2.8,1.1,0,NA
Dick Farley,80.8,3,2.8,2.5,NA,NA
Freddie Crawford,78.5,2.7,2.2,1.6,-0.2,-0.3
Yogi Ferrell,77.6,3,1.9,1.8,NA,NA
Dennis Hopson,76.4,3.1,2.1,1.7,0.5,-0.3
Jerian Grant,76.1,3.3,2.5,1.7,0.8,NA
Ken Charles,75.7,3.3,3,2.3,0.6,0.6
