Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mervin Jackson,,3.1,3.1,1.8,-0.2,-0.2
Chris Whitney,85.4,3.2,2.7,1.3,-0.2,-0.3
Bob Weiss,85.3,3.6,2.9,1.7,0.1,0
George Karl,84.9,3.4,3.3,1.3,0,-0.2
Mike Dunleavy,83.9,3.4,3,1.4,0.2,0.1
Mike McGee,83.9,3,2.8,1.9,0.2,0.2
Mike Butler,82.5,3.1,2.3,1.6,0.1,NA
Tyus Jones,82.0,3.6,3,1.5,0.3,NA
Terry Furlow,81.3,3.3,2.8,1.1,0,NA
Shammond Williams,81.3,3.1,2.9,1.2,0.2,0
Dick Farley,80.8,3,2.8,2.5,NA,NA
