Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tony Dumas,,1.6,0,0,-0.3,NA,NA
Bobby Wilson,75.8,1.6,0.2,0,-0.1,NA,NA
Bernard Robinson,60.8,1.7,0.3,0.1,NA,NA,NA
John Kuester,57.2,1.9,0.1,0,NA,NA,NA
Orlando Johnson,56.1,1.5,0.1,-0.2,NA,NA,NA
Greg Grant,43.3,1.4,0.2,0,0,0,-0.1
Tracy Jackson,42.5,1.7,0.7,0,NA,NA,NA
Jerry Rullo,41.9,1.5,0.6,0,-0.1,NA,NA
Travis Mays,41.2,2.1,0.3,0,NA,NA,NA
Stan Noszka,39.2,1.8,0.4,-0.2,NA,NA,NA
Gary Phillips,38.2,1.7,0.3,0.2,0.2,-0.1,NA
