Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tony Dumas,,1.6,0,0,-0.3
Mike Evans,77.5,1.6,0.1,-0.1,-0.2
Bobby Wilson,75.8,1.6,0.2,0,-0.1
Gerald Green,63.7,1.6,0.5,0,-0.4
Bernard Robinson,60.8,1.7,0.3,0.1,NA
Greg Grant,57.6,1.4,0.2,0,-0.1
John Kuester,57.2,1.9,0.1,0,NA
Orlando Johnson,56.1,1.5,0.1,-0.2,NA
Donald Sloan,53.2,2,0.3,0.1,-0.3
Randy Livingston,51.9,1.5,0.3,0.1,0
DeShawn Stevenson,48.2,1.5,-0.1,-0.2,-0.4
