Season,Team,Lg,Salary
1987-88,Portland Trail Blazers,NBA,"$175,000"
1988-89,Portland Trail Blazers,NBA,"$2,000,000"
1989-90,Portland Trail Blazers,NBA,"$2,100,000"
1990-91,Portland Trail Blazers,NBA,"$1,710,000"
1991-92,Portland Trail Blazers,NBA,"$2,013,000"
1992-93,Portland Trail Blazers,NBA,"$2,213,000"
1993-94,Washington Bullets,NBA,"$2,313,000"
1994-95,Washington Bullets,NBA,"$2,612,500"
1995-96,Milwaukee Bucks,NBA,"$2,863,000"
1996-97,Los Angeles Clippers,NBA,"$247,500"
Career,(may be incomplete),,"$18,247,000"
