Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kevin Duckworth,,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0,-0.1,-0.2,-0.5
Kelly Olynyk,87.8,5.5,4.7,4.1,4.1,3.6,2.9,NA,NA,NA,NA,NA
Sam Bowie,86.7,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,NA
Lloyd Neal,86.6,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,NA,NA,NA,NA
Steve Johnson,85.3,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0,NA
Kelvin Cato,84.8,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,NA
Matt Geiger,83.5,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA
John Gianelli,82.2,5.5,4.4,3.6,3.2,3,2.5,1.2,-0.4,NA,NA,NA
Nenad Krstić,79.9,5.4,4.4,4.2,4,1.9,1.7,-0.1,NA,NA,NA,NA
Kevin Kunnert,79.8,5.1,4.8,4.1,2.6,2.3,1.9,1,0.2,0,NA,NA
Gorgui Dieng,79.5,5.9,5.7,4.9,2.9,2.8,2.2,NA,NA,NA,NA,NA
