Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Billy Owens,,5.7,5.6,3.7,3.2,3.2,2.8,2.2,1.2,0.8,0.2
Matt Barnes,90.5,6.3,5.9,4.3,3.7,3,3,2.3,1,0.7,0.4
Gerald Govan,90.0,5.6,5.4,4.1,3.4,2.6,2.5,2.4,1,0.1,NA
Al-Farouq Aminu,89.9,5.8,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7,NA
Antoine Carr,89.5,5.5,5.4,4,3.8,3.5,3.3,2.2,2.1,1.2,0.7
Phil Hubbard,88.7,5.7,4.6,4.5,3.4,3.3,2.7,2.6,1.6,0.4,0.2
Malik Rose,88.5,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4
Al Harrington,88.4,5.9,5.4,4.3,3.9,3.8,2.6,1.6,1.2,1,-0.2
Phil Jackson,88.2,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.8,0.5
Danny Ferry,88.0,5.6,5.5,3.9,3.6,2.7,1.7,1.7,1.3,1,1
Austin Croshere,87.9,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,0.3,0
