,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2017-18,21,OKC,NBA,PG,2,3,.500,11.5,1.000,.500,.000,.000,.500,.000,.500,1.000,,,.000,,.000,.000,0,,,,0,0
2018-19,22,BOS,NBA,SG,6,51,.381,13.8,.619,.333,.095,.095,.095,.381,.462,.857,.000,.000,.000,.250,.000,.095,2,1.000,.125,.000,0,0
2019-20,23,DEN,NBA,PG,21,234,.396,14.3,.692,.220,.209,.165,.099,.308,.460,.650,.263,.400,.556,.250,.483,.011,1,.571,.107,.000,3,0
Career,,,NBA,,29,288,.395,14.2,.684,.246,.184,.149,.105,.316,.462,.714,.238,.353,.417,.250,.389,.026,3,.667,.111,.000,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,DEN,NBA,,21,234,.396,14.3,.692,.220,.209,.165,.099,.308,.460,.650,.263,.400,.556,.250,.483,.011,1,.571,.107,.000,3,0
1 season,,BOS,NBA,,6,51,.381,13.8,.619,.333,.095,.095,.095,.381,.462,.857,.000,.000,.000,.250,.000,.095,2,1.000,.125,.000,0,0
1 season,,OKC,NBA,,2,3,.500,11.5,1.000,.500,.000,.000,.500,.000,.500,1.000,,,.000,,.000,.000,0,,,,0,0
