Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Markel Brown,,0.6,0.5,0
K.J. McDaniels,73.9,0.6,0.5,0.2
Stan Pietkiewicz,69.4,1,0.6,0
Zoran Planinić,68.2,0.8,0.7,0.1
Glenn Hansen,67.4,0.8,0.4,-0.1
Carlos Terry,66.6,0.8,0.8,-0.1
Sundiata Gaines,65.0,1,0.5,-0.1
LaBradford Smith,64.5,0.8,0.8,-0.1
Andre McCarter,63.8,0.8,0.3,0
Tarence Kinsey,63.6,0.9,0.6,0
Darrin Hancock,63.4,0.5,0.4,0.2
