Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Rodney Buford,,0.8,0.8,0.8,0.6,-0.2
Sebastian Telfair,79.1,0.8,0.7,0.6,0.5,-0.4
Mike Wilks,78.0,0.8,0.7,0.6,0.5,-0.3
Dahntay Jones,71.8,0.9,0.7,0.6,0.4,-0.4
MarShon Brooks,65.5,1.3,0.8,0.7,0.4,0.1
Royal Ivey,63.9,0.9,0.7,0.5,0.3,0.2
Reggie Jordan,61.1,1.2,0.8,0.6,0.4,0.3
Steve Alford,59.8,1.4,0.9,0.6,0.3,NA
Kevin McKenna,59.1,1.7,0.9,0.7,0.6,-0.3
Michael Carter-Williams,58.6,1.3,1.2,0.9,0.8,0.2
Shawn Respert,58.4,0.8,0.7,0.5,0.1,NA
