Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Rodney Buford,,0.8,0.8,0.8,0.6,-0.2,NA,NA,NA,NA,NA
MarShon Brooks,65.5,1.3,0.8,0.7,0.4,0.1,NA,NA,NA,NA,NA
Mike Wilks,61.1,0.8,0.7,0.6,0.5,0.2,0,-0.3,NA,NA,NA
Steve Alford,59.8,1.4,0.9,0.6,0.3,NA,NA,NA,NA,NA,NA
Shawn Respert,58.4,0.8,0.7,0.5,0.1,NA,NA,NA,NA,NA,NA
John Warren,58.2,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA
Sergio Rodríguez,57.1,1.7,1.2,0.9,0.7,-0.2,NA,NA,NA,NA,NA
Reggie Jordan,55.3,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA,NA,NA
Brook Steppe,54.5,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA
Royal Ivey,54.2,1,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0
Steve Harris,53.6,1.3,1.2,0.8,0,-0.1,NA,NA,NA,NA,NA
