,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1990-91,19,ARKANSASLR,19,393,64,126,,,31,56,,132,22,11,38,30,127,159,.508,,.554,20.7,8.4,6.9,1.2
1992-93,21,TENNST,29,918,239,385,0,3,111,178,,339,30,19,93,63,103,589,.621,.000,.624,31.7,20.3,11.7,1.0
1993-94,22,TENNST,31,1052,288,469,4,13,179,276,,358,47,21,93,122,89,759,.614,.308,.649,33.9,24.5,11.5,1.5
Career,,,79,2363,591,980,4,16,321,510,,829,99,51,224,215,319,1507,.603,.250,.629,29.9,19.1,10.5,1.3
