Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Carlos Rogers,,4,2.2,2,0.9,0.9,0.5,0.5,0,NA,NA
Miles Plumlee,86.7,4,2.6,2.2,0.9,0.5,0.5,0,NA,NA,NA
Cherokee Parks,85.3,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA
Marc Jackson,83.9,4.6,2.6,2,1.3,1.2,0.7,0.6,NA,NA,NA
Manute Bol,82.8,3.9,2.4,2,1.7,1.3,0.8,0.2,0.1,0,-0.2
Cole Aldrich,79.1,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA,NA
Connie Dierking,76.1,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1
Steven Hunter,76.1,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1,NA,NA
Walt Wesley,75.9,4.1,1.7,1.2,1.2,1,0.7,0.2,0,-0.3,-0.4
Jim Krebs,74.6,4.2,2.8,1.5,1.3,1.3,1.2,0.1,NA,NA,NA
Chris Mihm,74.6,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA
