Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Quinn Cook,,1.8,1.6,0.2,NA,NA
Steve Bracey,89.1,2.1,1.5,0.3,NA,NA
Andrew Harrison,88.7,1.7,1.6,-0.1,NA,NA
Richie Regan,87.9,1.6,1.5,0.4,NA,NA
Fred LaCour,87.6,1.7,1.7,-0.1,NA,NA
Eric Maynor,84.6,1.9,1.5,0.2,0.1,-0.4
Lloyd Daniels,82.2,1.8,1.1,0.2,0.1,0
Sidney Lowe,79.8,1.7,1.5,0.5,0.3,NA
Rashad McCants,77.4,1.7,1.6,0.6,-0.3,NA
Billy Shepherd,76.9,1.7,1.3,-0.3,NA,NA
Kenny Rollins,76.2,2.6,1.5,0.1,NA,NA
