,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2016-17,23,TOT,NBA,PG,14,188,93%,7%,,,,-9.9,-7.5,9,4,5,0,2,2,60,1,1
2016-17,23,DAL,NBA,PG,5,77,95%,5%,,,,-9.4,-6.3,6,2,3,0,1,1,30,0,0
2016-17,23,NOP,NBA,PG,9,111,92%,9%,,,,-10.4,-8.7,3,2,2,0,1,1,30,1,1
2017-18,24,GSW,NBA,PG,33,740,100%,,,,,-2.9,-11.2,15,8,21,3,8,1,207,3,16
2018-19,25,GSW,NBA,PG,74,1059,100%,,,,,-5.2,-16.1,31,13,40,3,14,1,261,6,19
2019-20,26,LAL,NBA,PG,38,409,100%,,,,,+9.8,+2.6,12,8,8,1,4,4,95,1,10
Career,,,NBA,,159,2396,99%,1%,,,,-2.3,-10.7,67,33,74,7,28,8,623,11,46
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,107,1799,100%,,,,,-4.2,-14.1,46,21,61,6,22,2,468,9,35
1 season,,LAL,NBA,,38,409,100%,,,,,+9.8,+2.6,12,8,8,1,4,4,95,1,10
1 season,,NOP,NBA,,9,111,92%,9%,,,,-10.4,-8.7,3,2,2,0,1,1,30,1,1
1 season,,DAL,NBA,,5,77,95%,5%,,,,-9.4,-6.3,6,2,3,0,1,1,30,0,0
