,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,22,NJN,NBA,SF,78,1764,,19%,72%,9%,,-8.4,+3.3,61,41,77,10,63,5,514,14,40
2010-11,23,TOT,NBA,SG,21,290,2%,49%,47%,2%,,-12.9,-10.9,18,8,13,0,9,0,83,1,7
2010-11,23,NJN,NBA,SG,10,206,3%,50%,45%,2%,,-15.9,-9.2,14,5,10,0,4,0,69,0,3
2010-11,23,HOU,NBA,SG,11,84,,48%,52%,,,-5.7,-8.1,4,3,3,0,5,0,14,1,4
2011-12,24,TOT,NBA,SG,30,550,,35%,62%,3%,,-10.8,-8.6,27,13,24,0,21,0,156,4,4
2011-12,24,HOU,NBA,SG,12,181,,25%,71%,4%,,-15.8,-17.0,5,4,10,0,7,0,23,2,0
2011-12,24,SAC,NBA,SG,18,369,,40%,58%,2%,,-8.5,-2.8,22,9,14,0,14,0,133,2,4
2012-13,25,BOS,NBA,SF,24,318,,12%,85%,3%,,-1.8,-1.4,14,3,8,1,11,1,94,5,5
Career,,,NBA,,153,2922,,24%,69%,6%,,-8.6,-0.9,120,65,122,11,104,6,847,24,56
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJN,NBA,,88,1970,,22%,69%,8%,,-9.2,+1.9,75,46,87,10,67,5,583,14,43
1 season,,BOS,NBA,,24,318,,12%,85%,3%,,-1.8,-1.4,14,3,8,1,11,1,94,5,5
2 seasons,,HOU,NBA,,23,265,,32%,65%,3%,,-12.6,-14.2,9,7,13,0,12,0,37,3,4
1 season,,SAC,NBA,,18,369,,40%,58%,2%,,-8.5,-2.8,22,9,14,0,14,0,133,2,4
