Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Stephen Curry,,17.9,15.7,13.4,12.6,11.2,9.7,9.1,6.6,4.7,2.2
Dwyane Wade,92.1,14.7,14.4,13,12.8,11,9.6,8.8,7.7,4.6,3.3
Kobe Bryant,91.1,15.3,14.9,12.7,11.3,10.7,10.6,8.1,6.3,5.2,1.8
Walt Frazier,89.4,15.6,15,14.5,13,12.7,10.9,10.8,6.8,6.1,3.5
Gary Payton,86.7,13.9,12.9,12.5,11.7,11.5,9.3,7.8,7.2,3.9,3.4
Clyde Drexler,86.6,13.2,12.8,12.6,12.4,11.6,10.3,7.5,6.7,6,2.4
John Stockton,86.4,15.6,14.4,14.1,14,13.4,13.2,10.6,6.7,5.9,3.1
Russell Westbrook,84.9,14,13.1,11.6,10.6,10.1,9.4,7.9,6.1,5.2,1.9
Jerry West,83.9,17.1,16.7,15.2,14,12.9,11.7,10.8,9.6,8.1,6.6
Magic Johnson,83.7,16.1,15.9,12.9,12.7,12.5,12.1,10.9,10.5,10.2,6.4
Sidney Moncrief,83.3,13.4,13.2,12.7,11.7,11.2,9.9,5,4.9,3.7,2.9
