Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Willie Naulls,,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4
Walt Williams,90.6,5.4,5.1,5.1,4.4,3.7,3,2.2,1.7,1.6,-0.7
Tom Van Arsdale,90.5,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.4,1
Rod Higgins,89.9,5.9,5.7,5.3,5,3.8,3.7,2,1.3,1,0.1
Chuck Person,89.3,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,1.2,0
John Johnson,88.1,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1
Rick Fox,87.7,5.3,5.2,5.1,5.1,3.2,3.2,2.8,2.3,2.1,1.8
Johnny Green,87.5,5.6,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Morris Peterson,87.5,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6
Antoine Walker,87.5,6.7,6.6,5,4.7,3.9,3.6,2.6,2.6,1.7,0.9
Ben Poquette,87.4,5.4,5,4.9,3.5,3.4,2.5,2.3,1.4,1.3,0.6
