,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2017-18,23,ORL,NBA,SF,62,1020,,30%,64%,6%,,-5.0,-0.1,16,5,36,2,23,6,138,5,17
2018-19,24,ORL,NBA,SF,68,1233,,2%,96%,2%,,+1.9,+1.3,23,10,66,5,48,5,172,8,25
2019-20,25,ORL,NBA,SF,45,810,1%,9%,82%,8%,,+2.5,+4.7,5,7,26,2,35,1,112,5,15
Career,,,NBA,,175,3063,,13%,82%,5%,,-0.2,+1.8,44,22,128,9,106,12,422,18,57
