Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Chuck Gilmur,,4.6,4.5,4.3,1.7,-0.1
Leo Barnhorst,91.3,4.7,4.6,3.6,1.3,NA
Michael Brooks,91.3,4.9,4.7,4.5,2.4,0
Luc Mbah a Moute,89.1,4.8,4.7,4,2.4,0.5
Nate Williams,88.9,4.5,4.3,4,2.5,0.4
George Stone,88.1,4.6,4.6,4.5,0.2,NA
Marcus Morris,87.9,5.4,4.2,4,1.8,-0.2
Jared Sullinger,86.2,4.8,4,3.9,2.7,-0.1
Danny Fortson,85.4,4.5,4.4,3.5,1.9,1.1
Shandon Anderson,84.9,4.9,4.2,3.9,2,1.2
Stephen Jackson,84.0,4.8,4.4,3.1,0.9,-0.1
