Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chuck Gilmur,,4.6,4.5,4.3,1.7,-0.1,NA,NA
Leo Barnhorst,91.3,4.7,4.6,3.6,1.3,NA,NA,NA
Michael Brooks,90.8,4.9,4.7,4.5,2.4,0,0,NA
George Stone,88.1,4.6,4.6,4.5,0.2,NA,NA,NA
Jared Sullinger,86.2,4.8,4,3.9,2.7,-0.1,NA,NA
Cornell Warner,83.7,4.7,4.3,3.5,1.7,0.6,0.6,0.3
Bob Harris,83.1,5,4.3,3.4,1.9,1,NA,NA
Randolph Mahaffey,82.2,5.7,4.7,3.7,2.6,NA,NA,NA
Sly Williams,81.9,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Larry Nance,81.6,5.8,4.9,3.5,2.2,NA,NA,NA
Keon Clark,81.0,5.3,4.7,4.2,3.7,0.2,0,NA
