Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
LaBradford Smith,,0.8,0.8,-0.1,NA,NA
Carlos Terry,96.4,0.8,0.8,-0.1,NA,NA
Charlie Davis,92.4,0.8,0.7,-0.1,NA,NA
Tony Bennett,86.7,0.9,0.7,0,NA,NA
Litterial Green,84.7,0.8,0.8,0.1,0,-0.1
Zoran Planinić,84.2,0.8,0.7,0.1,NA,NA
Kris Dunn,80.5,0.9,0.6,0.1,NA,NA
Tarence Kinsey,77.7,0.9,0.6,0,NA,NA
Stan Pietkiewicz,76.1,1,0.6,0,NA,NA
Sundiata Gaines,72.7,1,0.5,-0.1,NA,NA
Phil Rollins,72.3,1.1,0.7,0.1,NA,NA
