Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1965-66,21,SFW,NBA,SF,1,1,17:00,4,10,0.4,NA,NA,NA,2,4,0.5,NA,2,2,NA,NA,NA,6,10
1966-67,22,SFW,NBA,SF,1,1,34:00,16,27,0.593,NA,NA,NA,6,8,0.75,NA,6,3,NA,NA,NA,5,38
1968-69,24,OAK,ABA,SF,1,NA,12:00,3,9,0.333,0,0,NA,4,5,0.8,1,3,1,NA,NA,1,2,10
1969-70,25,WSA,ABA,SF,1,NA,27:00,7,12,0.583,0,0,NA,2,2,1,NA,7,7,NA,NA,NA,0,16
1970-71,26,NYA,ABA,SF,1,NA,17:00,4,6,0.667,0,0,NA,6,6,1,0,2,2,NA,NA,2,3,14
1971-72,27,NYA,ABA,SF,1,NA,26:00,2,10,0.2,0,0,NA,0,1,0,4,12,8,NA,NA,1,2,4
1972-73,28,GSW,NBA,SF,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973-74,29,GSW,NBA,SF,1,1,19:00,3,6,0.5,NA,NA,NA,2,2,1,1,4,3,1,0,NA,3,8
1974-75,30,GSW,NBA,SF,1,1,38:00,11,20,0.55,NA,NA,NA,0,0,NA,1,5,8,8,1,NA,4,22
1975-76,31,GSW,NBA,SF,1,1,28:00,6,15,0.4,NA,NA,NA,5,5,1,2,4,2,2,0,NA,5,17
1976-77,32,GSW,NBA,SF,1,0,29:00,7,16,0.438,NA,NA,NA,4,4,1,1,4,8,2,0,NA,1,18
1977-78,33,GSW,NBA,SF,1,1,30:00,7,17,0.412,NA,NA,NA,1,1,1,2,4,5,3,0,5,6,15
Career,NA,,TOT,,11,6,277,70,148,0.473,0,0,NA,32,38,0.842,12,53,49,16,1,9,37,172
,NA,,NBA,,7,6,195,54,111,0.486,NA,NA,NA,20,24,0.833,7,29,31,16,1,5,30,128
,NA,,ABA,,4,NA,82,16,37,0.432,0,0,NA,12,14,0.857,5,24,18,NA,NA,4,7,44
