Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Corky Devlin,,1.8,1.2,0.8,NA,NA
Steven Kramer,89.6,1.9,1.2,1.1,NA,NA
Dirk Minniefield,89.2,1.9,1.1,1.1,NA,NA
Courtney Alexander,87.7,2.2,1.1,0.8,NA,NA
Chink Crossin,83.3,2.1,1.2,0.5,NA,NA
Kevin O'Shea,82.7,2.1,1.2,0.5,NA,NA
Mo Layton,82.5,1.9,1.1,1,0.3,0.1
Justin Anderson,81.7,1.9,1.2,1.1,0.4,NA
Raul Neto,81.4,1.8,1.1,0.9,0.7,NA
Kenny Higgs,81.2,2.2,1.5,1,NA,NA
Chris Smith,79.9,1.2,1.1,0.9,NA,NA
